name,category,freq_overall,users_count,f_n_per_user,f_n_by_user,importance,importance_b,crate,first_tag,last_tag
do,core,859,10,0.08210392553199414,▃▂▃▂▁▂▁▂▁▄▄▁▂█▁,0.27747636139532394,███▍        ,nu-cmd-lang,0.16.0,0.84.0
update,filters,941,12,0.06697667330748369,▁▁▅▆▁▄█▅▃▂▃▁▃▁▁,0.2745341904894758,███▎        ,nu-command,0.14.0,0.84.0
all,filters,655,10,0.07971759480036134,▁▁▂█▁▁▂▂▆▁▅▁▁▁▁,0.273414235921007,███▎        ,nu-command,0.68.0,0.84.0
length,filters,2415,8,0.09678154078580452,██▄▄▁▂▁▁▁▁▃▁▃▁▁,0.2694544059625997,███▎        ,nu-command,0.29.0,0.84.0
let-env,removed,673,8,0.09371585579213433,▂▂▄▅▁▂▁▂▁█▁▁▁▆▁,0.26515239916690125,███▏        ,nu-command,0.25.0,0.84.0
encode,strings,373,5,0.1482903404007033,▁▁▁▄▁▁▁▁▁▁▁█▁▁▁,0.2636850230116036,███▏        ,nu-command,0.65.0,0.84.0
str join,strings,1029,9,0.07783154339107555,▅▄▃▁▁▂▁▁▄▃▆▃█▁▁,0.2562967539950281,███▏        ,nu-command,0.69.0,0.84.0
save,filesystem,1546,12,0.057587355754331986,██▄▃▁▆▃▅▂▃▆▄▁▁▁,0.2545647239789907,███         ,nu-command,0.11.0,0.84.0
http get,network,749,7,0.09714853455509456,▂▂▃▁▁▃▂█▁▁▁▁▁▆▁,0.2525289522283191,███         ,nu-command,0.75.0,0.84.0
last,filters,1768,8,0.08331964367697214,▆▆▄█▁▄▁▃▁▁▁▁▁▁▁,0.25001307712096654,███         ,nu-command,0.11.0,0.84.0
describe,core,1108,9,0.07286680474590201,▄▄▅▃▁▇▁▁▂▂█▁▃▁▁,0.24798770390553912,███         ,nu-cmd-lang,0.11.0,0.84.0
transpose,filters,1189,9,0.07221694602642599,▅▅█▃▁▂▂▁▁▁▇▁▂▇▁,0.24687939470355277,███         ,nu-command,0.60.0,0.84.0
dfr open,dataframe,339,4,0.15884713427614647,▁▁▁▁▁▁▁▁▁▁▁▁▁▁█,0.24409771705180192,██▉         ,nu-cmd-dataframe,0.60.0,0.84.0
version,core,403,10,0.06351614092780902,▁▁▂▂▁▂▂▁▁▃▃▂▁█▁,0.24405408521385258,██▉         ,nu-cmd-lang,0.11.0,0.84.0
ps,system,849,7,0.0861568935903019,▁▁▂▁▃▃▁▁▁▁▃▁▁█▁,0.23781435490060612,██▉         ,nu-command,0.37.0,0.84.0
is-empty,filters,451,7,0.08195624463142594,▂▁▁▁▁▁▁▁▁▁▂▁█▁▁,0.2319444979683247,██▊         ,nu-command,0.68.0,0.84.0
str replace,strings,2001,7,0.08124893639173623,██▅▁▁▃▁▃▁▂▁▁▁▁▁,0.23094145204236402,██▊         ,nu-command,0.61.0,0.84.0
overlay,core,456,3,0.1865046356013562,▁▁▁█▁▁▁▁▁▁▁▁▁▁▁,0.22906011404081936,██▊         ,nu-cmd-lang,0.63.0,0.84.0
use,core,879,8,0.06722665130202385,▃▄▂█▁▂▃▁▁▁▁▁▂▇▁,0.2245741490380096,██▊         ,nu-cmd-lang,0.60.0,0.84.0
exit,shells,643,7,0.07556015145403919,▂▂▁▂▁▁▁▅█▁▁▅▁▁▁,0.2227098676140005,██▋         ,nu-command,0.11.0,0.84.0
mv,filesystem,749,9,0.05616231054789906,▃▃▂▅▁▇▅▂▄█▁▁▁▁▁,0.21771470726537664,██▋         ,nu-command,0.11.0,0.84.0
to text,formats,380,9,0.05545771429043671,▁▁▃▁▁▄▁▄▁▄█▃▁▁▁,0.21634470361415256,██▋         ,nu-command,0.63.0,0.84.0
merge,filters,1064,8,0.05971072037318733,▄▄█▄▁▂▄▁▃▁▁▁▂▁▁,0.21164849212791587,██▌         ,nu-command,0.14.0,0.84.0
skip,filters,1012,8,0.05959482545144467,▅▅▄█▁▃▁▁▇▁▁▁▂▁▁,0.2114429938592175,██▌         ,nu-command,0.11.0,0.84.0
clear,platform,799,5,0.09067494518157862,▁▁▁▁▁▁█▂▁▁▁▁▁▁▁,0.20619241386948248,██▌         ,nu-command,0.11.0,0.84.0
dfr into-df,dataframe,2178,3,0.14970309433201154,██▁▁▁▁▁▁▁▁▁▁▁▁▁,0.2052201713265235,██▌         ,nu-cmd-dataframe,0.76.0,0.84.0
history,misc,1249,7,0.06375561502698295,▆▇█▂▁▃▁▁▁▁▅▁▁▁▁,0.2045748633128648,██▌         ,nu-cli,0.11.0,0.84.0
parse,strings,1342,8,0.05495953772965512,██▅▃▁▅▁▃▂▁▁▁▁▁▁,0.20305353703131945,██▍         ,nu-command,0.11.0,0.84.0
append,filters,1101,7,0.06176802435430167,█▇▄▄▁▃▁▁▄▁▁▁▇▁▁,0.20136078944828856,██▍         ,nu-command,0.11.0,0.84.0
extern,core,170,2,0.2102672927578111,▁▁▁▇▁▁▁▁▁▁▁▁▁█▁,0.19858429034976813,██▍         ,nu-cmd-lang,0.60.0,0.84.0
mkdir,filesystem,485,9,0.046704157826467516,▂▂▂▄▁▄▄▃▁▄█▁▁▁▁,0.1985377323749067,██▍         ,nu-command,0.11.0,0.84.0
try,core,335,8,0.052183530894746866,▂▂▂▁▁▁▁▁▆▁▅▁▄█▁,0.19785897462785992,██▍         ,nu-cmd-lang,0.72.0,0.84.0
from,formats,343,10,0.041091221841778214,▁▁▂▂▁▁▂█▂▁▂▁▁▁▁,0.19629921255208865,██▍         ,nu-command,0.14.0,0.84.0
split row,strings,968,6,0.06671862960393828,▆▅▄▂▁▃▁▁▁▁▁▁▁█▁,0.19375067033204668,██▍         ,nu-command,0.15.0,0.84.0
any,filters,199,6,0.0665796403438164,▁▁▂▁▁▃▁▁▂▃█▁▂▁▁,0.19354875295179783,██▍         ,nu-command,0.68.0,0.84.0
char,strings,617,6,0.06551708854811379,▄▂▅▃▁▁▁▁▁▁▁▁▄█▁,0.1919981084353411,██▎         ,nu-command,0.16.0,0.84.0
complete,system,411,8,0.04539009801320947,▂▂▂▁▁▂▁▂▁▁▁▁▁█▁,0.18453110553908156,██▎         ,nu-command,0.60.0,0.84.0
for,core,440,10,0.034496991718458846,▂▂▄▂▁▃▁▁▄▁█▁▂▁▁,0.1798600219558383,██▏         ,nu-cmd-lang,0.32.0,0.84.0
timeit,debug,846,7,0.04918104728164829,▅▅▂▁▁▃▂▁▁█▁▁▁▁▁,0.17967677180454605,██▏         ,nu-command,0.76.0,0.84.0
reject,filters,1098,8,0.04297562039211881,▇█▃▃▁▂▁▂▃▁▁▁▂▁▁,0.17955607392645537,██▏         ,nu-command,0.11.0,0.84.0
register,core,314,6,0.05723017762348268,▁▁▆▂▁▁▁█▁▁▁▆▁▁▁,0.17944534715404042,██▏         ,nu-cmd-lang,0.60.0,0.84.0
decode,strings,157,4,0.08451964616711354,▁▁▂▁▁▁▁▁▁▁▁█▁▁▁,0.17805446167589734,██▏         ,nu-command,0.60.0,0.84.0
metadata,debug,171,6,0.055647102093080214,▁▁▁▁▁▁▃▁▁▁▃▁█▁▁,0.1769460741127322,██▏         ,nu-command,0.60.0,0.84.0
export def,core,358,4,0.08264156058709546,▃▁▁▂▁▁▁▁▁▁▁▁█▁▁,0.17606510108686924,██▏         ,nu-cmd-lang,0.60.0,0.84.0
env,,501,1,0.3285245901639344,▁▁█▁▁▁▁▁▁▁▁▁▁▁▁,0.175520549942312,██▏         ,nu-command,0.60.0,0.76.0
filter,filters,387,9,0.036433592720779756,▂▂▂▂▁▂▂▅▁█▁▁▄▁▁,0.17535424515347356,██▏         ,nu-command,0.67.0,0.84.0
dfr col,expression,1298,3,0.10630219671089723,██▁▁▁▁▁▁▁▁▁▄▁▁▁,0.1729321643000558,██▏         ,nu-cmd-dataframe,0.63.0,0.84.0
explore,viewers,419,6,0.05176001887853294,▂▂▆▁▁▂▁█▁▁▇▁▁▁▁,0.17065415554026034,██          ,nu-explore,0.73.0,0.84.0
group-by,filters,793,6,0.05174335423504776,▅▅▅█▁▁▂▁▁▁▁▁▁▁▁,0.17062668144283522,██          ,nu-parser,0.11.0,0.84.0
into int,conversions,852,7,0.04316778740279602,▇██▃▁▁▂▄▁▁▁▁▄▁▁,0.16833442678204633,██          ,nu-command,0.30.0,0.84.0
into,conversions,262,5,0.06042345602630069,▁▁▃▂▁▁▁▁▁▁█▁▁▁▁,0.16831848480275496,██          ,nu-command,0.30.0,0.84.0
default,filters,546,7,0.04234907169843458,▄▄▅█▁▃▁▁▄▁▁▁▄▁▁,0.1667304788049018,██          ,nu-command,0.11.0,0.84.0
cp,filesystem,419,7,0.04220898958228842,▂▃▂▅▁▅▁▁▃█▁▁▁▁▁,0.16645449513442878,██          ,nu-command,0.11.0,0.84.0
overlay use,core,1177,3,0.0925689081352551,██▁▄▁▁▁▁▁▁▁▁▁▁▁,0.16137536138197314,█▉          ,nu-cmd-lang,0.68.0,0.84.0
help commands,core,426,7,0.03892311342258232,▃▃█▃▁▁▂▄▁▁▁▇▁▁▁,0.1598441828491807,█▉          ,nu-command,0.74.0,0.84.0
uniq,filters,726,5,0.05286808755709059,▆▆▃▁▁▃▁▁▁▁█▁▁▁▁,0.15744389757927374,█▉          ,nu-command,0.11.0,0.84.0
url,network,120,3,0.08793047941017429,▁▁▂▁▁▁▁▁▁▁█▁▁▁▁,0.15728031769644946,█▉          ,nu-command,0.18.1,0.84.0
glob,filesystem,935,5,0.04858008875260501,▇█▄▁▁▃▂▁▁▁▁▁▁▁▁,0.15092395726518112,█▊          ,nu-command,0.61.0,0.84.0
run-external,system,29,3,0.07863818276072407,▁▁▁▁▁▁▁▁▁▁▁▁▁█▁,0.14873781307775466,█▊          ,nu-command,0.60.0,0.84.0
fill,conversions,243,5,0.04678270436595942,▂▂▁▁▁▁▁▁▁▁█▁▁▁▁,0.148105672940498,█▊          ,nu-command,0.76.0,0.84.0
