name,crate,first_tag,last_tag
bits ror,nu-cmd-extra,0.67.0,0.84.0
bits shl,nu-cmd-extra,0.67.0,0.84.0
bits shr,nu-cmd-extra,0.67.0,0.84.0
bits xor,nu-cmd-extra,0.67.0,0.84.0
export use,nu-cmd-lang,0.67.0,0.84.0
hide-env,nu-cmd-lang,0.67.0,0.84.0
filter,nu-command,0.67.0,0.84.0
into sqlite,nu-command,0.67.0,0.84.0
query db,nu-command,0.67.0,0.84.0
overlay hide,nu-cmd-lang,0.68.0,0.84.0
overlay use,nu-cmd-lang,0.68.0,0.84.0
all,nu-command,0.68.0,0.84.0
any,nu-command,0.68.0,0.84.0
ast,nu-command,0.68.0,0.84.0
export-env,nu-command,0.68.0,0.84.0
is-empty,nu-command,0.68.0,0.84.0
source-env,nu-command,0.68.0,0.84.0
split words,nu-command,0.68.0,0.84.0
str distance,nu-command,0.68.0,0.84.0
json,nu-plugin,0.68.1,0.84.0
msgpack,nu-plugin,0.68.1,0.84.0
commandline,nu-cli,0.69.0,0.84.0
history session,nu-cli,0.69.0,0.84.0
str join,nu-command,0.69.0,0.84.0
registry query,nu-command,0.70.0,0.84.0
break,nu-cmd-lang,0.72.0,0.84.0
continue,nu-cmd-lang,0.72.0,0.84.0
loop,nu-cmd-lang,0.72.0,0.84.0
mut,nu-cmd-lang,0.72.0,0.84.0
return,nu-cmd-lang,0.72.0,0.84.0
try,nu-cmd-lang,0.72.0,0.84.0
while,nu-cmd-lang,0.72.0,0.84.0
help operators,nu-command,0.72.0,0.84.0
into record,nu-command,0.72.0,0.84.0
url parse,nu-command,0.72.0,0.84.0
math arccos,nu-cmd-extra,0.73.0,0.84.0
math arccosh,nu-cmd-extra,0.73.0,0.84.0
math arcsin,nu-cmd-extra,0.73.0,0.84.0
math arcsinh,nu-cmd-extra,0.73.0,0.84.0
math arctan,nu-cmd-extra,0.73.0,0.84.0
math arctanh,nu-cmd-extra,0.73.0,0.84.0
math cos,nu-cmd-extra,0.73.0,0.84.0
math cosh,nu-cmd-extra,0.73.0,0.84.0
math e,nu-cmd-extra,0.73.0,0.84.0
math ln,nu-cmd-extra,0.73.0,0.84.0
math pi,nu-cmd-extra,0.73.0,0.84.0
math sin,nu-cmd-extra,0.73.0,0.84.0
math sinh,nu-cmd-extra,0.73.0,0.84.0
math tan,nu-cmd-extra,0.73.0,0.84.0
math tanh,nu-cmd-extra,0.73.0,0.84.0
math tau,nu-cmd-extra,0.73.0,0.84.0
math log,nu-command,0.73.0,0.84.0
uniq-by,nu-command,0.73.0,0.84.0
explore,nu-explore,0.73.0,0.84.0
const,nu-cmd-lang,0.74.0,0.84.0
help aliases,nu-command,0.74.0,0.84.0
help commands,nu-command,0.74.0,0.84.0
help modules,nu-command,0.74.0,0.84.0
start,nu-command,0.74.0,0.84.0
url encode,nu-command,0.74.0,0.84.0
values,nu-command,0.74.0,0.84.0
ansi link,nu-cmd-extra,0.75.0,0.84.0
enumerate,nu-command,0.75.0,0.84.0
http,nu-command,0.75.0,0.84.0
http get,nu-command,0.75.0,0.84.0
http post,nu-command,0.75.0,0.84.0
url build-query,nu-command,0.75.0,0.84.0
url join,nu-command,0.75.0,0.84.0
dfr agg,nu-cmd-dataframe,0.76.0,0.84.0
dfr arg-where,nu-cmd-dataframe,0.76.0,0.84.0
dfr columns,nu-cmd-dataframe,0.76.0,0.84.0
dfr concat-str,nu-cmd-dataframe,0.76.0,0.84.0
dfr count,nu-cmd-dataframe,0.76.0,0.84.0
dfr dummies,nu-cmd-dataframe,0.76.0,0.84.0
dfr expr-not,nu-cmd-dataframe,0.76.0,0.84.0
dfr fill-nan,nu-cmd-dataframe,0.76.0,0.84.0
dfr filter,nu-cmd-dataframe,0.76.0,0.84.0
dfr into-df,nu-cmd-dataframe,0.76.0,0.84.0
dfr into-lazy,nu-cmd-dataframe,0.76.0,0.84.0
dfr into-nu,nu-cmd-dataframe,0.76.0,0.84.0
dfr lowercase,nu-cmd-dataframe,0.76.0,0.84.0
dfr n-unique,nu-cmd-dataframe,0.76.0,0.84.0
dfr otherwise,nu-cmd-dataframe,0.76.0,0.84.0
dfr query,nu-cmd-dataframe,0.76.0,0.84.0
dfr summary,nu-cmd-dataframe,0.76.0,0.84.0
dfr to-arrow,nu-cmd-dataframe,0.76.0,0.84.0
dfr uppercase,nu-cmd-dataframe,0.76.0,0.84.0
explain,nu-command,0.76.0,0.84.0
fill,nu-command,0.76.0,0.84.0
inspect,nu-command,0.76.0,0.84.0
profile,nu-command,0.76.0,0.84.0
timeit,nu-command,0.76.0,0.84.0
view,nu-command,0.76.0,0.84.0
view files,nu-command,0.76.0,0.84.0
view source,nu-command,0.76.0,0.84.0
view span,nu-command,0.76.0,0.84.0
nu-plugin,nu-plugin,0.76.0,0.84.0
custom-value generate,nu_plugin_custom_values,0.76.0,0.84.0
custom-value generate2,nu_plugin_custom_values,0.76.0,0.84.0
custom-value update,nu_plugin_custom_values,0.76.0,0.84.0
nu-example-1,nu_plugin_example,0.76.0,0.84.0
nu-example-2,nu_plugin_example,0.76.0,0.84.0
nu-example-3,nu_plugin_example,0.76.0,0.84.0
gstat,nu_plugin_gstat,0.76.0,0.84.0
inc,nu_plugin_inc,0.76.0,0.84.0
query json,nu_plugin_query,0.76.0,0.84.0
query web,nu_plugin_query,0.76.0,0.84.0
query xml,nu_plugin_query,0.76.0,0.84.0
http delete,nu-command,0.77.0,0.84.0
http head,nu-command,0.77.0,0.84.0
http patch,nu-command,0.77.0,0.84.0
http put,nu-command,0.77.0,0.84.0
decode hex,nu-cmd-extra,0.78.0,0.84.0
encode hex,nu-cmd-extra,0.78.0,0.84.0
math exp,nu-cmd-extra,0.78.0,0.84.0
help externs,nu-command,0.78.0,0.84.0
items,nu-command,0.79.0,0.84.0
dfr implode,nu-cmd-dataframe,0.80.0,0.84.0
export module,nu-cmd-lang,0.80.0,0.84.0
input list,nu-command,0.80.0,0.84.0
dfr datepart,nu-cmd-dataframe,0.81.0,0.84.0
dfr to-jsonl,nu-cmd-dataframe,0.81.0,0.84.0
math egamma,nu-cmd-extra,0.81.0,0.84.0
math phi,nu-cmd-extra,0.81.0,0.84.0
lazy make,nu-cmd-lang,0.81.0,0.84.0
scope,nu-cmd-lang,0.82.0,0.84.0
scope aliases,nu-cmd-lang,0.82.0,0.84.0
scope commands,nu-cmd-lang,0.82.0,0.84.0
scope engine-stats,nu-cmd-lang,0.82.0,0.84.0
scope modules,nu-cmd-lang,0.82.0,0.84.0
scope variables,nu-cmd-lang,0.82.0,0.84.0
http options,nu-command,0.82.0,0.84.0
hello,nu-plugin,0.82.0,0.84.0
into bits,nu-cmd-extra,0.83.0,0.84.0
extern-wrapped,nu-cmd-lang,0.83.0,0.84.0
input listen,nu-command,0.83.0,0.84.0
str expand,nu-command,0.83.0,0.84.0
dfr to-avro,nu-cmd-dataframe,0.84.0,0.84.0
export const,nu-cmd-lang,0.84.0,0.84.0
export extern-wrapped,nu-cmd-lang,0.84.0,0.84.0
scope externs,nu-cmd-lang,0.84.0,0.84.0
format date,nu-command,0.84.0,0.84.0
format duration,nu-command,0.84.0,0.84.0
