name,category,freq,freq_norm,freq_norm_bar,timeline,importance,importance_b,freq_by_user
hide,core,4,0,          ,█▁▁▁▁▁▁▁▁▁,0.03,▍           ,▁▁▅▁█▁▁▁▁▁▁▁▁▁▁▁
into bool,conversions,4,0,          ,▁▁▁▁█▅▅▁▁▁,0.01,▏           ,▅▁▁▅▁█▁▁▁▁▁▁▁▁▁▁
stor export,database,3,0,          ,▁▁▁▁▁▁▁▁▁█,0,            ,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
date,date,3,0,          ,▁▁▁▁▁▁█▁▁▁,0.03,▍           ,▁▂█▁▁▁▁▁▁▁▁▁▁▁▁▁
with-env,env,3,0,          ,▁▁▁▁▁▁█▁██,0.03,▍           ,▁▁▁▁▁█▁▃▁▁▁▁▁▁▁▁
loop,core,3,0,          ,▁▁▁▁█▁▁▁██,0.04,▌           ,▁▁▃▁▁█▁▁▁▁▁▁▁▃▁▁
drop column,filters,3,0,          ,█▁▁▁▅▁▁▁▁▁,0,            ,▄█▁▁▁▁▁▁▁▁▁▁▁▁▁▁
from ssv,formats,3,0,          ,▁▁▁▁▁▁▁█▁▁,0.04,▌           ,▁▅█▇▁▁▁▁▁▁▁▁▁▁▁▁
config,env,3,0,          ,██▁▁▁█▁▁▁▁,0.51,██████▏     ,▁▁▃▁█▁▁▅▁▂▆▂▂▁▆▅
bytes index-of,bytes,3,0,          ,▁▁▁▁▁▁▁▁█▁,0.01,▏           ,▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁
split words,strings,3,0,          ,▁▁▁▁▁█▁▁▁▁,0.02,▏           ,▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁
debug info,debug,3,0,          ,▁▁▁▁▅▁▁▁█▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
from msgpackz,formats,3,0,          ,▁▁▁▁▁▁▁█▁▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
seq char,generators,3,0,          ,▁▁▁█▅▁▁▁▁▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
stor delete,database,3,0,          ,▁▁▁▁▁▁▁▁▅█,0,            ,▂█▁▁▁▁▁▁▁▁▁▁▁▁▁▁
export,core,3,0,          ,▁▁▁▅▁▁█▁▁▁,0.05,▋           ,▁▁▁▁█▁▁▁▄▁▁▁▁▁▁▁
math ln,math,2,0,          ,▁▁▁▁▁▁▁▁▁█,0,            ,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
view,debug,2,0,          ,▁█▁█▁▁▁▁▁▁,0.06,▋           ,▁▁▃▁█▁▁▁▅▁▁▁▁▁▁▁
take while,filters,2,0,          ,▁▁▁▁▁██▁▁▁,0.02,▎           ,▁▂▁▁▁▁▁█▁▁▁▁▁▁▁▁
drop nth,filters,2,0,          ,█▁▁▁▁▁▁▁▁▁,0,            ,▅▁▁█▁▁▁▁▁▁▁▁▁▁▁▁
into cell-path,conversions,2,0,          ,▁▁▁▁▁▁▁█▁▁,0,            ,▅▁▁█▁▁▁▁▁▁▁▁▁▁▁▁
plugin,plugin,2,0,          ,▁▁▁▁▁▁██▁▁,0,            ,▅▁▁█▁▁▁▁▁▁▁▁▁▁▁▁
schema,database,2,0,          ,█▁▁▁▁▁▁█▁▁,0.03,▍           ,▁▂█▁▁▁▁▁▇▁▁▁▁▁▁▁
stor,database,2,0,          ,▁▁▁▁▁█▁█▁▁,0.01,▏           ,▂█▁▁▁▁▁▁▁▁▁▁▁▁▁▁
help externs,core,2,0,          ,▁▁█▁▁▁▁▁▁█,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
help aliases,core,2,0,          ,▁▁██▁▁▁▁▁▁,0.01,▏           ,▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁
export use,core,2,0,          ,▁▁▁▁▁▁█▁▁▁,0.01,▏           ,▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁
date to-table,date,2,0,          ,██▁▁▁▁▁▁▁▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
into bits,conversions,2,0,          ,▁▁▁▁█▁▁█▁▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
math exp,math,2,0,          ,▁▁▁▁▁▁▁█▁▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
metadata set,debug,2,0,          ,▁▁▁▁▁▁▁▁█▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
roll down,filters,2,0,          ,█▁▁▁▁█▁▁▁▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
url join,network,2,0,          ,▁▁█▁▁▁█▁▁▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
export extern,core,2,0,          ,▁▁▁▁▁▁▁█▁▁,0.01,▏           ,▂▇▁▂▁█▁▁▁▁▁▁▁▁▁▁
from,formats,2,0,          ,▁▁▁▁▁▁██▁▁,0.17,██          ,▁▁▂▁▂▁▁▁▂█▁▂▁▁▁▁
decode base32hex,formats,1,0,          ,▁▁▁▁▁▁▁▁▁█,0,            ,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
export module,core,1,0,          ,▁▁▁▁▁▁▁█▁▁,0.04,▌           ,▁▁▁▂▁▁▁▁▁▁▁▁▁█▁▁
const,core,1,0,          ,▁▁▁▁█▁▁▁▁▁,0.05,▋           ,▁▁▁▂█▁▁▁▁▁▁▁▁▆▁▁
hide-env,core,1,0,          ,▁▁▁▁▁▁▁▁▁█,0.01,▏           ,▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁
chunks,filters,1,0,          ,▁▁▁▁▁▁▁▁█▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
config reset,env,1,0,          ,▁▁▁▁▁▁█▁▁▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
from msgpack,formats,1,0,          ,▁▁▁▁▁▁▁▁█▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
hash,hash,1,0,          ,▁▁▁▁▁▁▁▁█▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
http options,network,1,0,          ,▁▁▁▁█▁▁▁▁▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
plugin stop,plugin,1,0,          ,▁▁▁▁▁▁▁█▁▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
scope engine-stats,core,1,0,          ,▁▁▁█▁▁▁▁▁▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
sys mem,system,1,0,          ,▁▁▁▁▁▁▁█▁▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
ulimit,platform,1,0,          ,▁▁▁▁▁▁█▁▁▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
uname,system,1,0,          ,▁▁█▁▁▁▁▁▁▁,0,            ,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
load-env,filesystem,1,0,          ,▁▁▁▁▁▁▁▁█▁,0.02,▎           ,▁▁▁█▁▁▁▁▁▁▁▁▁▇▁▁
scope,core,1,0,          ,▁▁▁█▁▁▁▁▁▁,0.02,▎           ,▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁
skip while,filters,1,0,          ,▁█▁▁▁▁▁▁▁▁,0,            ,▃▁▁█▁▁▁▁▁▁▁▁▁▁▁▁
random bool,random,1,0,          ,▁▁▁▁▁▁▁▁█▁,0,            ,▂▁▁█▁▁▁▁▁▁▁▁▁▁▁▁
